dist,basis,M,E_real,E_imag,error
2.0,canonical,64,-5.302763565576859,0.00013964971881534106,0.0007180555853658532
2.4,canonical,1,-4.968893879652201,-9.157775671940805e-05,0.00041316051324467005
2.4,canonical,2,-4.979931105714256,0.0015461355612202028,0.001596893702601344
2.4,canonical,4,-4.9975920226677975,0.00035480891326958113,0.0003857521300748388
2.4,canonical,8,-5.011066811737146,0.0011516379071224037,0.0008831951054784593
2.4,canonical,16,-5.048675495515186,-0.0006557957723797019,0.0012372848879162524
2.4,canonical,32,-5.099417753487716,-0.00037734971467376225,0.0023613884280261764
2.4,canonical,64,-5.051975405904608,-0.013793396317255114,0.023081999298267514
2.8,canonical,1,-4.648579472827434,0.002019197681067283,0.0016477451218751425
2.8,canonical,2,-4.6770344224459794,-0.00033593368147061514,0.00033924074239917755
2.8,canonical,4,-4.736470351171528,0.001911972822862497,0.002108412421443903
2.8,canonical,8,-4.7753666021827215,0.0009377505314780235,0.0017702414825923624
2.8,canonical,16,-4.853636991591147,-0.006856965510765044,0.006280441111504816
2.8,canonical,32,-4.838314851557028,0.0008044791348409048,0.0034783030363888553
2.8,canonical,64,-4.895092038626171,-0.002446744067936788,0.0053509574565660184
3.2,canonical,1,-4.388742394054308,-0.00023041551892342033,0.0006192664380317036
3.2,canonical,2,-4.41841614640941,1.801964176001547e-05,0.0009407116376852528
3.2,canonical,4,-4.442071837302359,-0.0009180689126558055,0.0007462297089696908
3.2,canonical,8,-4.552120820261694,0.00022695998332866358,0.0009951180915279312
3.2,canonical,16,-4.587570138876984,-0.00025783148600586075,0.0010088214199786211
3.2,canonical,32,-4.656842062335485,-0.001902159208128071,0.0016427960473503122
3.2,canonical,64,-4.6613233878572515,-0.002736238914439833,0.0028195137832933643
1.0,local,1,-1.6780527673184977,0.0028793167454153647,0.010052635315308065
1.0,local,2,-2.009216907187124,0.00021795553106318934,0.008910209581495004
1.0,local,4,-2.675659070491619,-0.0027710218551581234,0.008798103951665706
1.0,local,8,-3.792816192015323,0.00016913696442338562,0.0015285748852185803
1.0,local,16,-3.8100243990877303,-0.001087544129261356,0.001315881906938267
1.0,local,32,-3.82212252709877,-0.0005415649427652149,0.0004880028590708382
1.0,local,64,-3.8243108050238632,0.00020482010894866073,0.00031077952559594807
1.4,local,1,-3.8258188734902845,0.001969548543400292,0.00793105457943358
1.4,local,2,-4.087398042169337,0.000518919706902391,0.006253611992346869
1.4,local,4,-4.561099809361018,-0.0007510063220958645,0.004901477411657705
1.4,local,8,-5.184777429925209,-0.0002341995577439484,0.0011542711162261636
1.4,local,16,-5.201055681153463,0.00014060260377366288,0.0004996064593981075
1.4,local,32,nan,nan,nan
1.4,local,64,nan,nan,nan
1.8,local,1,-4.341075676398486,-0.014534158726364276,0.005415200604177932
1.8,local,2,-4.651181282694717,0.001551827324611726,0.004962422596470362
1.8,local,4,-5.004367925581919,-0.0003560501806411536,0.0038810206532322437
1.8,local,8,-5.40674428314083,0.0010908572189875375,0.0008789492533409173
1.8,local,16,-5.4205657968192416,-0.0007234529825105634,0.0004044846347370889
1.8,local,32,nan,nan,nan
1.8,local,64,nan,nan,nan
2.0,local,1,-4.48704059315582,7.211669524945942e-05,0.004379083871788612
2.0,local,2,-4.754070518571966,-0.001327164018279042,0.0035723667524927313
2.0,local,4,-5.039499689848224,9.099838570070685e-07,0.003192312227737298
2.0,local,8,-5.381372576081427,-0.0005909850011951321,0.0005132881635276457
2.0,local,16,-5.387347197885649,4.148860076573399e-05,0.0004165324149672854
2.0,local,32,nan,nan,nan
2.0,local,64,nan,nan,nan
2.4,local,1,-4.55090687330566,-0.005692328096828215,0.0032982138009697896
